match_id,match_date,surface,player1_name,player2_name,surface_elo_diff,overall_elo_diff,p1_surface_wr_12mo,p2_surface_wr_12mo,surface_wr_diff_12mo,p1_surface_wr_career,p2_surface_wr_career,surface_wr_diff_career,p1_form_20,p2_form_20,form_diff_20,p1_surface_form_10,p2_surface_form_10,surface_form_diff_10,age_diff,height_diff,hand_matchup,h2h_surface_advantage,target
123046,2000-01-03,Clay,Byron Black,Jamie Delgado,0.0,0.0,0.5208333333333334,0.3333333333333333,0.18750000000000006,0.5359477124183006,0.16666666666666666,0.369281045751634,0.45,0.16666666666666666,0.2833333333333333,0.6,0.16666666666666666,0.43333333333333335,7.4551676933607105,-3.0,0,1,0
123047,2000-01-03,Clay,Markus Hantschk,Laurence Tieleman,0.0,0.0,0.3333333333333333,0.4,-0.06666666666666671,0.2857142857142857,0.4411764705882353,-0.15546218487394958,0.2857142857142857,0.45,-0.1642857142857143,0.2857142857142857,0.4,-0.11428571428571432,-5.0130047912388775,8.0,0,0,1
123048,2000-01-03,Clay,Tomas Behrend,Alexander Popp,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.8973305954825435,-8.0,0,0,1
120683,2000-01-03,Clay,Jens Knippschild,Roger Federer,0.0,0.0,0.5,0.43333333333333335,0.06666666666666665,0.4657534246575342,0.42857142857142855,0.03718199608610567,0.45,0.4,0.04999999999999999,0.4,0.7,-0.29999999999999993,6.4777549623545525,5.0,0,0,0
123066,2000-01-03,Clay,Cedric Pioline,Davide Sanguinetti,0.0,0.0,0.5633802816901409,0.29411764705882354,0.26926263463131733,0.57356608478803,0.41025641025641024,0.1633096745316197,0.5,0.25,0.25,0.3,0.2,0.09999999999999998,3.195071868583163,0.0,0,-1,1
121966,2000-01-03,Clay,Sjeng Schalken,Nicolas Kiefer,0.0,0.0,0.5272727272727272,0.6923076923076923,-0.16503496503496506,0.4594594594594595,0.6157894736842106,-0.15633001422475107,0.5,0.75,-0.25,0.5,0.6,-0.09999999999999998,0.8213552361396275,10.0,0,0,0
121967,2000-01-03,Clay,George Bastl,Fabrice Santoro,0.0,0.0,0.5,0.6065573770491803,-0.10655737704918034,0.42105263157894735,0.5203761755485894,-0.09932354396964205,0.4,0.6,-0.19999999999999996,0.5,0.5,0.0,-2.3080082135523625,5.0,0,0,0
121968,2000-01-03,Clay,Mikael Tillstrom,Younes El Aynaoui,0.0,0.0,0.46875,0.56,-0.09125000000000005,0.47058823529411764,0.5517241379310345,-0.08113590263691683,0.45,0.55,-0.10000000000000003,0.7,0.5,0.19999999999999996,-0.4791238877481163,-8.0,0,0,0
121969,2000-01-03,Clay,Rainer Schuettler,Max Mirnyi,0.0,0.0,0.3829787234042553,0.5,-0.11702127659574468,0.45977011494252873,0.5238095238095238,-0.0640394088669951,0.35,0.45,-0.10000000000000003,0.3,0.5,-0.2,1.1964407939767305,-16.0,0,0,1
121970,2000-01-03,Clay,Fabrice Santoro,Nicolas Kiefer,0.0,0.0,0.6065573770491803,0.6923076923076923,-0.08575031525851196,0.5203761755485894,0.6157894736842106,-0.09541329813562116,0.6,0.75,-0.15000000000000002,0.5,0.6,-0.09999999999999998,4.569472963723477,-5.0,0,1,1
121971,2000-01-03,Clay,Rainer Schuettler,Younes El Aynaoui,0.0,0.0,0.3829787234042553,0.56,-0.17702127659574474,0.45977011494252873,0.5517241379310345,-0.09195402298850575,0.35,0.55,-0.20000000000000007,0.3,0.5,-0.2,-4.618754277891853,-13.0,0,-1,1
121961,2000-01-03,Clay,George Bastl,Alberto Berasategui,0.0,0.0,0.5,0.5,0.0,0.42105263157894735,0.5540540540540541,-0.1330014224751067,0.4,0.55,-0.15000000000000002,0.5,0.7,-0.19999999999999996,-1.757700205338807,10.0,0,0,1
121960,2000-01-03,Clay,Fabrice Santoro,John Van Lottum,0.0,0.0,0.6065573770491803,0.4883720930232558,0.11818528402592454,0.5203761755485894,0.47191011235955055,0.048466063189038844,0.6,0.5,0.09999999999999998,0.5,0.5,0.0,3.3347022587268995,-7.0,0,1,1
121942,2000-01-03,Clay,Jeff Tarango,Nicolas Kiefer,0.0,0.0,0.4523809523809524,0.6923076923076923,-0.2399267399267399,0.48344370860927155,0.6157894736842106,-0.132345765074939,0.6,0.75,-0.15000000000000002,0.7,0.6,0.09999999999999998,8.621492128678984,-3.0,1,-1,0
123061,2000-01-03,Clay,Davide Sanguinetti,Andreas Vinciguerra,0.0,0.0,0.29411764705882354,0.6,-0.30588235294117644,0.41025641025641024,0.5294117647058824,-0.11915535444947212,0.25,0.5294117647058824,-0.27941176470588236,0.2,0.6,-0.39999999999999997,8.487337440109513,8.0,1,0,1
123060,2000-01-03,Clay,Jiri Vanek,Tuomas Ketola,0.0,0.0,0.5,0.1111111111111111,0.3888888888888889,0.5,0.2777777777777778,0.2222222222222222,0.5,0.15,0.35,0.5,0.1,0.4,-3.170431211498972,0.0,0,0,0
123059,2000-01-03,Clay,Markus Hantschk,Tomas Behrend,0.0,0.0,0.3333333333333333,0.5,-0.16666666666666669,0.2857142857142857,0.5,-0.2142857142857143,0.2857142857142857,0.5,-0.2142857142857143,0.2857142857142857,0.5,-0.2142857142857143,-2.9377138945927435,-5.0,0,0,1
123058,2000-01-03,Clay,Orlin Stanoytchev,Jamie Delgado,0.0,0.0,0.3125,0.3333333333333333,-0.020833333333333315,0.23684210526315788,0.16666666666666666,0.07017543859649122,0.3,0.16666666666666666,0.13333333333333333,0.3,0.16666666666666666,0.13333333333333333,5.489390828199863,7.0,0,0,0
123057,2000-01-03,Clay,Jerome Golmard,Fredrik Jonsson,0.0,0.0,0.6470588235294118,0.3,0.3470588235294118,0.5118110236220472,0.23076923076923078,0.28104179285281644,0.65,0.21428571428571427,0.4357142857142857,0.6,0.3,0.3,3.5482546201232026,-5.0,1,0,1
123056,2000-01-03,Clay,Ronald Agenor,Martin Damm Sr,0.0,0.0,0.3,0.30434782608695654,-0.004347826086956552,0.39622641509433965,0.4117647058823529,-0.015538290788013276,0.4,0.25,0.15000000000000002,0.3,0.2,0.09999999999999998,7.715263518138265,-8.0,0,0,0
123055,2000-01-03,Clay,Michal Tabara,Lorenzo Manta,0.0,0.0,0.75,0.46153846153846156,0.28846153846153844,0.5,0.2857142857142857,0.2142857142857143,0.5,0.3,0.2,0.4,0.4,0.0,-4.90075290896646,-15.0,0,0,0
123054,2000-01-03,Clay,Andy Ram,Cedric Pioline,0.0,0.0,0.5,0.5633802816901409,-0.06338028169014087,0.5,0.57356608478803,-0.07356608478802995,0.5,0.5,0.0,0.5,0.3,0.2,-10.819986310746064,-8.0,0,0,0
123053,2000-01-03,Clay,Leander Paes,Julien Boutter,0.0,0.0,0.375,0.16666666666666666,0.20833333333333334,0.46788990825688076,0.2222222222222222,0.24566768603465855,0.35,0.2222222222222222,0.12777777777777777,0.3,0.2222222222222222,0.07777777777777778,0.7994524298425709,-12.0,0,0,1
123052,2000-01-03,Clay,Davide Sanguinetti,Adrian Voinea,0.0,0.0,0.29411764705882354,0.40540540540540543,-0.11128775834658189,0.41025641025641024,0.4263565891472868,-0.01610017889087656,0.25,0.45,-0.2,0.2,0.5,-0.3,1.9466119096509225,3.0,0,0,1
123051,2000-01-03,Clay,Andreas Vinciguerra,Alex Lopez Moron,0.0,0.0,0.6,0.4,0.19999999999999996,0.5294117647058824,0.38461538461538464,0.14479638009049772,0.5294117647058824,0.3,0.22941176470588237,0.6,0.4,0.19999999999999996,-10.22861054072553,5.0,1,0,1
123050,2000-01-03,Clay,Tuomas Ketola,Oleg Ogorodov,0.0,0.0,0.1111111111111111,0.375,-0.2638888888888889,0.2777777777777778,0.4807692307692308,-0.202991452991453,0.15,0.35,-0.19999999999999998,0.1,0.3,-0.19999999999999998,-2.6009582477754947,-8.0,0,0,1
121959,2000-01-03,Clay,Sjeng Schalken,Franco Squillari,0.0,0.0,0.5272727272727272,0.425,0.10227272727272724,0.4594594594594595,0.45454545454545453,0.004914004914004955,0.5,0.35,0.15000000000000002,0.5,0.3,0.2,-1.048596851471597,10.0,1,0,1
